iter	Passed	Remaining
409	4512	6493
410	4523	6482
411	4534	6471
412	4546	6461
413	4557	6451
414	4568	6439
415	4579	6429
416	4590	6418
417	4600	6406
418	4612	6395
419	4624	6386
420	4635	6374
421	4646	6363
422	4657	6353
423	4668	6342
424	4679	6331
425	4690	6320
426	4702	6309
427	4712	6298
428	4722	6286
429	4733	6274
430	4743	6262
431	4755	6252
432	4767	6242
433	4778	6231
434	4789	6220
435	4800	6210
436	4811	6198
437	4822	6187
438	4833	6176
439	4844	6165
440	4854	6153
441	4865	6142
442	4876	6130
443	4887	6120
444	4898	6109
445	4909	6098
446	4920	6086
447	4932	6077
448	4942	6065
449	4953	6054
450	4965	6044
451	4976	6033
452	4987	6022
453	4998	6011
454	5009	5999
455	5020	5989
456	5031	5978
457	5042	5967
458	5053	5956
459	5064	5945
460	5075	5934
461	5087	5924
462	5098	5913
463	5110	5903
464	5121	5892
465	5132	5881
466	5142	5869
467	5153	5858
468	5163	5845
469	5174	5834
470	5185	5823
471	5196	5812
472	5206	5801
473	5218	5790
474	5228	5779
475	5239	5768
476	5250	5756
477	5261	5745
478	5272	5734
479	5283	5723
480	5293	5711
481	5304	5700
482	5315	5689
483	5325	5677
484	5336	5666
485	5347	5655
486	5359	5645
487	5370	5634
488	5381	5623
489	5391	5611
490	5402	5600
491	5413	5589
492	5425	5579
493	5435	5567
494	5447	5557
495	5457	5545
496	5467	5533
497	5478	5522
498	5491	5513
499	5502	5502
500	5512	5490
501	5525	5481
502	5536	5469
503	5547	5459
504	5558	5448
505	5569	5437
506	5579	5425
507	5591	5414
508	5603	5405
509	5614	5394
510	5625	5382
511	5635	5371
512	5647	5361
513	5658	5349
514	5668	5338
515	5680	5327
516	5691	5317
517	5701	5305
518	5713	5294
519	5724	5283
520	5734	5272
521	5746	5262
522	5757	5251
523	5769	5241
524	5781	5231
525	5793	5220
526	5804	5209
527	5814	5198
528	5825	5186
529	5837	5176
530	5847	5165
531	5858	5153
532	5869	5142
533	5879	5130
534	5889	5119
535	5900	5107
536	5912	5097
537	5922	5086
538	5933	5074
539	5944	5064
540	5955	5052
541	5966	5041
542	5976	5029
543	5987	5018
544	5998	5008
545	6009	4997
546	6022	4987
547	6032	4975
548	6043	4964
549	6053	4952
550	6064	4942
551	6075	4930
552	6086	4919
553	6098	4909
554	6109	4898
555	6120	4887
556	6130	4875
557	6141	4864
558	6152	4853
559	6163	4842
560	6174	4831
561	6184	4820
562	6196	4809
563	6207	4798
564	6218	4787
565	6229	4776
566	6240	4765
567	6251	4754
568	6262	4743
569	6273	4732
570	6284	4721
571	6294	4710
572	6305	4699
573	6316	4688
574	6328	4677
575	6339	4666
576	6351	4656
577	6362	4645
578	6374	4634
579	6386	4624
580	6397	4613
581	6408	4602
582	6420	4592
583	6431	4581
584	6442	4570
585	6454	4559
586	6464	4548
587	6475	4537
588	6486	4526
589	6497	4515
590	6508	4504
591	6519	4493
592	6531	4482
593	6542	4471
594	6554	4461
595	6566	4451
596	6576	4439
597	6587	4428
598	6598	4417
599	6610	4406
600	6620	4395
601	6633	4385
602	6644	4374
603	6655	4363
604	6666	4352
605	6677	4341
606	6687	4329
607	6699	4319
608	6710	4308
609	6721	4297
610	6732	4286
611	6742	4274
612	6753	4263
613	6765	4252
614	6776	4242
615	6787	4231
616	6799	4220
617	6811	4210
618	6822	4199
619	6833	4188
620	6844	4177
621	6855	4166
622	6866	4155
623	6877	4144
624	6892	4135
625	6906	4126
626	6921	4117
627	6933	4107
628	6944	4095
629	6958	4086
630	6972	4077
631	6984	4066
632	6996	4056
633	7007	4045
634	7018	4033
635	7029	4023
636	7042	4013
