iter	RMSE
439	2.583890289
440	2.583509068
441	2.582950429
442	2.582650147
443	2.582043773
444	2.58158549
445	2.580971241
446	2.580524448
447	2.579884019
448	2.579471923
449	2.579046956
450	2.57853937
451	2.578117069
452	2.577493122
453	2.577053529
454	2.576570636
455	2.575886552
456	2.57538531
457	2.574725788
458	2.574187931
459	2.573612984
460	2.57298868
461	2.57231887
462	2.571782078
463	2.571162275
464	2.570584653
465	2.570051409
466	2.569647645
467	2.569146056
468	2.568895865
469	2.568402517
470	2.567965345
471	2.567485109
472	2.566823464
473	2.566382779
474	2.565926789
475	2.565568227
476	2.565096681
477	2.564593623
478	2.564186435
479	2.563742811
480	2.563154012
481	2.562713664
482	2.5622642
483	2.561844729
484	2.56142227
485	2.560968964
486	2.560273984
487	2.559764667
488	2.559445461
489	2.558889444
490	2.558316711
491	2.55773073
492	2.557173043
493	2.556662732
494	2.556093844
495	2.555793464
496	2.555455166
497	2.554830235
498	2.554185727
499	2.553699271
500	2.553211475
501	2.552726401
502	2.552352103
503	2.551942593
504	2.551306117
505	2.550797438
506	2.550239602
507	2.549567661
508	2.549014173
509	2.548438738
510	2.548185891
511	2.547756731
512	2.547296928
513	2.546697472
514	2.546224863
515	2.545679188
516	2.545294404
517	2.544803126
518	2.544084128
519	2.543615725
520	2.543114714
521	2.542588498
522	2.54216822
523	2.541572224
524	2.540994461
525	2.540373737
526	2.539952764
527	2.539528883
528	2.539023542
529	2.538462453
530	2.537941994
531	2.537612507
532	2.537077892
533	2.536478178
534	2.536013925
535	2.535530458
536	2.534857265
537	2.534518351
538	2.53411472
539	2.533461841
540	2.533110809
541	2.532757
542	2.532600919
543	2.532063385
544	2.531619607
545	2.531023437
546	2.530498985
547	2.530167197
548	2.529721154
549	2.529358092
550	2.528933729
551	2.528474396
552	2.528003759
553	2.527335963
554	2.526763828
555	2.526339255
556	2.52575842
557	2.525387727
558	2.524902571
559	2.524348338
560	2.523963154
561	2.52356034
562	2.523033897
563	2.522513866
564	2.521886277
565	2.521322687
566	2.52100208
567	2.520459706
568	2.520020663
569	2.519665456
570	2.519181494
571	2.518667092
572	2.518107763
573	2.517592761
574	2.51717281
575	2.51662929
576	2.516058077
577	2.515582785
578	2.515118137
579	2.514533468
580	2.514108883
581	2.513579222
582	2.513156508
583	2.512655107
584	2.512145805
585	2.511601417
586	2.511121613
587	2.510789459
588	2.510552343
589	2.510084819
590	2.509612908
591	2.509120062
592	2.508786429
593	2.508392554
594	2.50786111
595	2.507289678
596	2.506754748
597	2.506247701
598	2.505799276
599	2.505379581
600	2.504990491
601	2.504435992
602	2.503950951
603	2.503686867
604	2.503311041
605	2.502949432
606	2.502619471
607	2.502026985
608	2.501617117
609	2.501199722
610	2.500774626
611	2.500398863
612	2.500038601
613	2.499541228
614	2.499248302
615	2.498733967
616	2.498358969
617	2.498000532
618	2.497548847
619	2.496944963
620	2.496616072
621	2.496172576
622	2.495841426
623	2.495252148
624	2.494836835
625	2.494365619
626	2.493806496
627	2.49333309
628	2.492930752
629	2.492473645
630	2.49202065
631	2.491465767
632	2.49100826
633	2.490549315
634	2.490089716
635	2.489606476
636	2.489168896
637	2.488704175
638	2.488220642
639	2.487763855
640	2.487195681
641	2.486846129
642	2.486680854
643	2.48627432
644	2.485965895
645	2.485477743
646	2.485105002
647	2.484551653
648	2.484023549
649	2.483585766
650	2.483057258
651	2.482479482
652	2.481972754
653	2.481516341
654	2.481124193
655	2.480753329
656	2.480413549
657	2.479910983
658	2.479491904
659	2.47916355
660	2.478889883
661	2.47841049
662	2.477953972
663	2.477489035
664	2.477203979
665	2.476800146
666	2.476276565
667	2.475771198
668	2.475362771
669	2.474914877
670	2.474422242
671	2.473838351
672	2.473402266
673	2.472977602
674	2.472356333
675	2.471846631
676	2.471350065
677	2.470965911
678	2.470779447
679	2.470529245
680	2.47005132
681	2.469574365
682	2.469462411
683	2.468979884
684	2.468553503
685	2.468202691
686	2.467848021
687	2.467266979
688	2.466884238
689	2.466436913
690	2.465889079
691	2.46545715
692	2.465053789
693	2.464612508
694	2.464144692
695	2.463763085
696	2.463338182
697	2.462895914
698	2.462577534
699	2.462169658
700	2.461827444
701	2.461536578
702	2.46110978
703	2.460679347
704	2.460316554
705	2.459894352
706	2.459268511
707	2.458986807
708	2.458609005
709	2.458183269
710	2.457866982
711	2.457309786
712	2.45679341
713	2.456326518
714	2.455947517
715	2.455586111
716	2.45525751
717	2.454858997
718	2.45451362
719	2.454133247
720	2.453661959
721	2.453278663
722	2.452899226
723	2.452551501
724	2.45214104
725	2.451676589
726	2.451202088
727	2.450729324
728	2.450240954
729	2.449744978
730	2.449224514
731	2.448768106
732	2.448241007
733	2.447903325
734	2.447464538
735	2.447007773
736	2.446557576
737	2.446196289
738	2.44604058
739	2.445539498
740	2.445287084
741	2.444903465
742	2.444537275
743	2.444100973
744	2.44362074
745	2.443161265
746	2.442732529
747	2.44239723
748	2.441987533
749	2.441718562
750	2.441290927
751	2.44073973
752	2.440399701
753	2.439954512
754	2.439694931
755	2.43928721
756	2.438882142
757	2.438375692
758	2.438144394
759	2.437760988
760	2.437322165
761	2.436819547
762	2.436419288
763	2.436029939
764	2.435676783
765	2.43520047
766	2.434800664
767	2.434415395
768	2.433955986
769	2.433532449
770	2.433021169
771	2.432560767
772	2.432226932
773	2.431802726
774	2.4313283
775	2.430948568
776	2.430641458
777	2.430195161
778	2.429793991
779	2.429397282
780	2.428943373
781	2.42851723
782	2.428266323
783	2.427817333
784	2.427383677
785	2.427011161
786	2.426660242
787	2.426247036
788	2.425946715
789	2.425550799
790	2.425026932
791	2.424636044
792	2.424357456
793	2.42389248
794	2.423417934
795	2.422934467
796	2.422586206
797	2.422198881
798	2.421741496
799	2.421409524
800	2.421076879
801	2.42064866
802	2.420224113
803	2.419856091
804	2.419368261
805	2.418915293
806	2.418483751
807	2.417980142
808	2.417619835
809	2.417127169
810	2.416831873
811	2.416533758
812	2.416253312
813	2.415891935
814	2.415419259
815	2.415135664
816	2.414709813
817	2.414541177
818	2.414075235
819	2.413564404
820	2.413149519
821	2.412889583
822	2.412528993
823	2.412118262
824	2.411698042
825	2.411376719
826	2.411077517
827	2.410831677
828	2.410469052
829	2.410103623
830	2.409872426
831	2.409491067
832	2.409138582
833	2.408748907
834	2.408310802
835	2.407930737
836	2.407574465
837	2.407211817
838	2.406936202
839	2.406574219
840	2.406142935
841	2.405755069
842	2.405325673
843	2.404817391
844	2.404374795
845	2.404022713
846	2.403605816
847	2.403282188
848	2.402856576
849	2.402544208
850	2.402193458
851	2.401877564
852	2.401601277
853	2.401235918
854	2.400773977
855	2.400350334
856	2.400119173
857	2.399676732
858	2.399247896
859	2.398829947
860	2.398454374
861	2.398002069
862	2.397680945
863	2.397459001
864	2.397046149
865	2.396640293
866	2.39620396
867	2.395804722
868	2.39548078
869	2.395043228
870	2.394558377
871	2.394207737
872	2.393767544
873	2.393233081
874	2.392723087
875	2.392297248
876	2.391904728
877	2.391528449
878	2.391106095
879	2.390586822
880	2.390091499
881	2.389639932
882	2.389476942
883	2.389280055
884	2.388995071
885	2.388539086
886	2.388294856
887	2.38780768
888	2.387399524
889	2.386966926
890	2.386615117
891	2.386272494
892	2.385901093
893	2.385472341
894	2.385154459
895	2.384695861
896	2.384303863
897	2.383968821
898	2.383655845
899	2.383282438
900	2.382941692
901	2.382606
902	2.382211361
903	2.381941304
904	2.381672695
905	2.381249889
906	2.380965711
907	2.380578166
908	2.380311186
909	2.380039194
910	2.379624829
911	2.379206064
912	2.378839981
913	2.378484762
914	2.378108591
915	2.377704811
916	2.377383485
917	2.377004773
918	2.376480531
919	2.376246282
920	2.375887122
921	2.37569283
922	2.375279907
923	2.374894596
924	2.374527427
925	2.374127363
926	2.373771687
927	2.373396675
928	2.372906549
929	2.372513554
930	2.372186601
931	2.371889496
932	2.371453521
933	2.371052225
934	2.370618339
935	2.370200047
936	2.369722628
937	2.369332077
938	2.368956639
939	2.368561696
940	2.368229996
941	2.367954688
942	2.367543803
943	2.367264554
944	2.36698525
945	2.366512024
946	2.366233553
947	2.365909803
948	2.365579371
949	2.365350095
950	2.364908937
951	2.364571066
952	2.364144196
953	2.363711731
954	2.363381791
955	2.36304863
956	2.362653208
957	2.362281695
958	2.361947179
959	2.361592972
960	2.361191572
961	2.360868487
962	2.36047662
963	2.360175124
964	2.359804272
965	2.359536759
966	2.35928025
967	2.35884002
968	2.358365856
969	2.358030582
970	2.357686827
971	2.35724227
972	2.35684708
973	2.356509993
974	2.356109774
975	2.355788139
976	2.355633876
977	2.355219364
978	2.354907149
979	2.354609367
980	2.354140856
981	2.353856813
982	2.353474503
983	2.353166115
984	2.352919601
985	2.352554603
986	2.35217739
987	2.351923332
988	2.351560013
989	2.35111163
990	2.350722744
991	2.35029746
992	2.34995914
993	2.349494017
994	2.349203035
995	2.348952815
996	2.348658608
997	2.348181145
998	2.347792538
999	2.347443005
